Countrycode;AirQualityStation;AirQualityStationEoICode;AirPollutant;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification
DE;STA.DE_DEBB007;DEBB007;O3;hour;14;µg/m3;2013-01-08 02:00:00 +01:00;2013-01-08 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;18.14;µg/m3;2013-01-08 05:00:00 +01:00;2013-01-08 06:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;6.74;µg/m3;2013-01-08 07:00:00 +01:00;2013-01-08 08:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;6.8;µg/m3;2013-01-08 08:00:00 +01:00;2013-01-08 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;19.46;µg/m3;2013-01-08 10:00:00 +01:00;2013-01-08 11:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;17.75;µg/m3;2013-01-08 11:00:00 +01:00;2013-01-08 12:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;11.61;µg/m3;2013-01-08 12:00:00 +01:00;2013-01-08 13:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;9.73;µg/m3;2013-01-08 13:00:00 +01:00;2013-01-08 14:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;10.49;µg/m3;2013-01-08 14:00:00 +01:00;2013-01-08 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;14.74;µg/m3;2013-01-08 17:00:00 +01:00;2013-01-08 18:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;13.33;µg/m3;2013-01-08 19:00:00 +01:00;2013-01-08 20:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;10.85;µg/m3;2013-01-08 21:00:00 +01:00;2013-01-08 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;9;µg/m3;2013-01-08 22:00:00 +01:00;2013-01-08 23:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;5.88;µg/m3;2013-01-09 02:00:00 +01:00;2013-01-09 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;6.78;µg/m3;2013-01-09 03:00:00 +01:00;2013-01-09 04:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;6.6;µg/m3;2013-01-09 04:00:00 +01:00;2013-01-09 05:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;5.18;µg/m3;2013-01-09 05:00:00 +01:00;2013-01-09 06:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;4.91;µg/m3;2013-01-09 06:00:00 +01:00;2013-01-09 07:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;3.3;µg/m3;2013-01-09 07:00:00 +01:00;2013-01-09 08:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;3.33;µg/m3;2013-01-09 09:00:00 +01:00;2013-01-09 10:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;7.81;µg/m3;2013-01-09 10:00:00 +01:00;2013-01-09 11:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;15.57;µg/m3;2013-01-09 12:00:00 +01:00;2013-01-09 13:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;16.46;µg/m3;2013-01-09 17:00:00 +01:00;2013-01-09 18:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;33;µg/m3;2013-01-09 18:00:00 +01:00;2013-01-09 19:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;33.58;µg/m3;2013-01-09 19:00:00 +01:00;2013-01-09 20:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;33.59;µg/m3;2013-01-10 02:00:00 +01:00;2013-01-10 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.04;µg/m3;2013-01-10 03:00:00 +01:00;2013-01-10 04:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;56.4;µg/m3;2013-01-10 04:00:00 +01:00;2013-01-10 05:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;57.43;µg/m3;2013-01-10 05:00:00 +01:00;2013-01-10 06:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.45;µg/m3;2013-01-10 06:00:00 +01:00;2013-01-10 07:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;59.63;µg/m3;2013-01-10 07:00:00 +01:00;2013-01-10 08:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;61.57;µg/m3;2013-01-10 08:00:00 +01:00;2013-01-10 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;58.06;µg/m3;2013-01-10 09:00:00 +01:00;2013-01-10 10:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;51.11;µg/m3;2013-01-10 10:00:00 +01:00;2013-01-10 11:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;57.14;µg/m3;2013-01-10 11:00:00 +01:00;2013-01-10 12:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;57.48;µg/m3;2013-01-10 12:00:00 +01:00;2013-01-10 13:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;59.75;µg/m3;2013-01-10 13:00:00 +01:00;2013-01-10 14:00:00 +01:00;1;1
