N	MeanD	Volume
869	1.156083266	2075653
870	1.185240436	2184126
871	1.205075983	2104620
872	1.337065816	1993128
873	1.435467014	1498991
874	0.910158271	2289048
875	0.970214502	2322805
876	0.857003686	2750005
877	0.819730371	3300291
878	1.003487472	2476184
879	0.850201983	4342875
880	1.068184365	2144564
881	1.073781708	2232298
882	1.092990876	2059732
883	1.153217775	1973545
884	0.851407885	2506156
885	1.231623477	2039633
886	0.9469541	2463716
887	0.790334657	3026270
888	1.066065325	2145499
889	2.079528309	1135900
890	1.461849081	1655695
891	1.277263383	1860981
892	1.109135013	2079654
893	1.299589731	1656766
894	1.472773058	1604383
895	1.225163719	2173362
896	1.059986383	2294421
897	1.017205	2299776
898	1.107594875	2064880
899	1.280155317	2169838
900	1.12771758	2245295
901	1.194481495	1985308
902	0.748757549	3602168
903	0.893920387	2723209
904	0.931532561	2548909
905	0.977446491	2414564
906	1.071487742	2057415
907	1.156833508	1842916
908	0.786330565	3003618
909	1.034808575	2318230
910	0.960992126	2493307
911	0.989604968	2606430
912	0.696134868	3802088
913	0.782023097	3205972
914	0.70184065	4018192
915	1.380353125	1695820
916	0.725181541	3602696
917	1.10646662	1925956
918	0.941430001	2244025
919	0.940712849	2642722
920	0.88902423	2641431
921	1.584563152	1182782
922	1.340436658	1649483
923	1.750849195	1306806
924	1.086410666	3070326
925	0.94943013	2694374
926	1.013387159	2246217
927	0.709895302	3447215
928	0.921772032	2481431
929	1.473378963	1459854
930	1.615532685	1146597
931	1.013143423	2507659
932	0.78415672	2965292
933	1.007813398	2176224
934	1.16463906	1922171
935	1.641534272	1500891
936	1.433624049	1462225
937	1.125145361	2215752
938	1.004208151	2330272
939	0.803085576	3210680
940	1.288489103	1884184
941	1.327403892	1753388
942	1.124857194	1813867
943	1.050174955	2139394
944	1.122281989	2994502
945	1.176986492	1896039
946	1.290084261	1639839
947	1.223391097	1710960
948	0.82171768	2837425
949	0.979329553	2217726
950	1.005131968	2338643
951	1.206306183	1932528
952	0.71616911	3483049
953	0.986315711	2439822
954	0.906681459	2724006
955	1.159640322	2015294
956	0.871949347	2728990
957	1.272299603	1718802
958	1.173154962	1982542
959	1.335321067	1396359
960	1.028356877	2187984
961	1.14928857	2009102
962	0.952212781	2542181
963	1.063089066	2321969
964	0.935785129	2846226
965	1.422113149	1704565
966	0.973287833	2796053
967	0.887236115	3008695
968	0.968245256	2423153
969	1.218436589	1780838
970	0.765415803	3289521
971	0.842513944	2740782
972	0.817103636	3111962
973	0.858619784	2738515
974	0.923711556	2493833
975	1.009621189	2106969
976	0.674730057	3795984
977	0.987486503	2471968
978	1.007220575	2483456
979	1.018384278	2323238
980	0.693821659	3848709
981	0.970593833	2530367
982	1.105740413	2281528
983	1.071217038	2161280
984	1.257251661	1608186
985	1.244890257	1955002
986	1.458205198	1439421
987	1.216553956	2030684
988	1.256873407	1768709
989	1.247178888	2452071
990	1.522496048	1492926
991	1.417662643	1707442
992	1.325873053	1774232
993	0.987627216	2621278
994	0.860495707	2633029
995	1.064053433	1839003
996	1.406536157	1620065
997	1.480342997	1518428
998	1.197344592	2064459
999	1.132206676	2001350
1000	1.628644549	1408447
1001	1.397146298	1595006
1002	1.284350031	1941944
1003	1.413894299	1583649
1004	1.015914976	2405723
1005	1.375602433	1429195
1006	1.267855367	1870316
1007	1.28439492	2097349
1008	1.254198698	1846716
1009	1.089923252	2881500
1010	1.674660476	1428129
1011	1.460395739	1461001
1012	1.979807195	1017551
1013	2.828268974	714342
1014	2.282332528	952141
1015	2.170525509	532655
1016	1.719151594	1359893
1017	1.325858519	1486015
1018	1.715687317	1132085
1019	1.482734762	1625554
1020	0.943439607	2131449
1021	0.988625144	1964484
1022	0.813917261	2514470
1023	1.596112624	1559366
1024	1.126828353	2112916
1025	1.042965737	2630244
1026	1.659148328	1479302
1027	1.160628777	2104519
1028	1.175482286	1981899
