date; pm25; pm10; o3; no2; so2; co;AQI
26.06.2015;70;27;32;48;5;6;70
27.06.2015;59;25;24;49;5;8;59
28.06.2015;61;26;35;61;6;7;61
29.06.2015;64;34;45;77;6;7;77
30.06.2015;68;44;69;86;5;8;86
01.07.2015;104;33;41;70;6;7;104
02.07.2015;77;22;30;45;5;4;77
03.07.2015;53;33;34;43;5;3;53
04.07.2015;81;24;30;35;6;3;81
05.07.2015;62;23;27;49;6;3;62
06.07.2015;60;25;28;53;6;4;60
07.07.2015;53;24;31;39;6;3;53
08.07.2015;59;33;36;42;5;2;59
09.07.2015;54;28;43;65;6;4;65
10.07.2015;63;26;30;44;7;3;63
11.07.2015;62;19;21;38;6;5;62
12.07.2015;57;20;15;45;7;5;57
13.07.2015;64;19;14;40;5;5;64
14.07.2015;58;22;18;41;5;10;58
15.07.2015;61;33;33;53;4;4;61
16.07.2015;71;34;30;62;5;6;71
17.07.2015;70;26;35;56;5;5;70
18.07.2015;66;23;34;47;4;5;66
19.07.2015;57;31;16;45;5;6;57
20.07.2015;74;26;22;57;5;6;74
21.07.2015;64;25;25;58;5;6;64
22.07.2015;62;24;28;53;5;5;62
23.07.2015;56;29;25;58;4;4;58
24.07.2015;70;19;27;27;4;4;70
25.07.2015;54;23;24;50;5;7;54
26.07.2015;63;23;23;52;6;7;63
27.07.2015;56;19;27;48;5;7;56
28.07.2015;48;21;24;34;4;4;48
29.07.2015;49;31;24;40;4;2;49
30.07.2015;49;27;35;63;5;7;63
31.07.2015;70;33;28;47;5;5;70
01.08.2015;66;22;46;49;4;5;66
02.08.2015;57;26;26;44;5;6;57
03.08.2015;66;25;28;35;3;4;66
04.08.2015;62;27;27;48;2;5;62
05.08.2015;70;23;25;60;6;6;70
06.08.2015;69;26;28;54;5;3;69
07.08.2015;67;27;41;42;4;4;67
08.08.2015;63;22;36;49;5;4;63
09.08.2015;62;21;22;38;5;3;62
10.08.2015;59;22;12;43;5;3;59
11.08.2015;56;20;22;37;4;3;56
12.08.2015;49;31;18;28;5;3;49
13.08.2015;76;36;24;43;6;3;76
14.08.2015;95;25;27;27;6;3;95
15.08.2015;65;25;23;30;6;4;65
16.08.2015;63;27;32;42;6;3;63
17.08.2015;65;32;23;50;7;5;65
18.08.2015;77;23;26;52;6;6;77
19.08.2015;69;20;16;42;7;6;69
20.08.2015;63;21;22;44;6;5;63
21.08.2015;65;22;38;40;6;4;65
22.08.2015;66;24;32;43;7;5;66
23.08.2015;71;18;16;35;9;3;71
24.08.2015;60;22;17;44;7;4;60
25.08.2015;63;21;19;39;7;3;63
26.08.2015;64;24;19;45;5;4;64
27.08.2015;67;24;23;48;5;4;67
28.08.2015;63;20;25;41;4;3;63
29.08.2015;62;27;22;27;2;3;62
30.08.2015;72;16;20;30;2;2;72
31.08.2015;54;23;18;40;4;4;54
01.09.2015;70;23;20;41;4;4;70
02.09.2015;67;25;21;40;3;3;67
03.09.2015;69;22;18;41;2;3;69
04.09.2015;69;21;20;39;2;3;69
05.09.2015;60;21;27;31;2;3;60
06.09.2015;61;18;19;38;1;2;61
07.09.2015;52;16;18;38;1;3;52
08.09.2015;51;21;21;35;3;3;51
09.09.2015;57;31;24;48;4;4;57
10.09.2015;72;39;32;51;5;5;72
11.09.2015;88;25;29;43;4;5;88
12.09.2015;67;25;22;36;4;4;67
13.09.2015;60;26;25;40;6;6;60
14.09.2015;64;29;26;46;7;6;64
15.09.2015;64;24;26;40;5;3;64
16.09.2015;56;29;27;48;6;6;56
17.09.2015;71;32;17;73;6;5;73
18.09.2015;69;23;28;51;3;4;69
19.09.2015;65;30;32;50;5;6;65
20.09.2015;86;26;22;60;7;7;86
21.09.2015;81;21;16;54;5;4;81
22.09.2015;58;27;16;55;6;3;58
23.09.2015;62;27;17;57;6;5;62
24.09.2015;67;34;21;45;4;4;67
25.09.2015;73;30;22;44;3;4;73
26.09.2015;74;20;24;38;2;3;74
27.09.2015;59;24;19;46;3;3;59
28.09.2015;59;28;18;44;2;3;59
29.09.2015;61;31;21;43;2;3;61
30.09.2015;65;28;24;42;1;3;65
01.10.2015;66;36;17;63;3;4;66
02.10.2015;86;50;13;50;3;5;86
03.10.2015;129;44;33;55;4;6;129
04.10.2015;110;30;18;46;5;6;110
05.10.2015;82;27;17;52;6;5;82
06.10.2015;77;28;10;41;6;4;77
07.10.2015;71;34;17;49;6;4;71
08.10.2015;80;44;10;61;7;6;80
09.10.2015;102;26;17;42;3;3;102
10.10.2015;68;38;22;38;3;3;68
11.10.2015;96;37;20;54;3;4;96
12.10.2015;92;26;21;52;3;4;92
13.10.2015;67;21;21;54;2;5;67
14.10.2015;52;28;17;52;3;6;52
15.10.2015;72;35;22;52;3;5;72
16.10.2015;83;28;23;38;2;4;83
17.10.2015;68;20;19;30;2;5;68
18.10.2015;64;26;20;49;3;5;64
19.10.2015;71;34;15;60;4;7;71
20.10.2015;81;37;9;57;8;11;81
21.10.2015;88;34;25;48;6;8;88
22.10.2015;72;39;15;75;7;9;75
23.10.2015;81;27;23;70;5;8;81
24.10.2015;75;27;14;58;4;7;75
